City Hall,1,568,878
Town Square Theater,2,690,882
Casey's Corner,3,608,661
The Crystal Palace,4,519,644
The Plaza Restaurant,5,677,659
Plaza Ice Cream Parlor,6,650,663
Main Street Bakery,7,650,700
Tony's Town Square Restaurant,8,688,852
Emporium,9,605,781
Uptown Jewelers,10,649,747
Main Street Confectionery,11,650,818
Swiss Family Treehouse,12,382,622
The Magic Carpets of Aladdin,13,292,615
Jungle Cruise,14,296,665
Walt Disney's Enchanted Tiki Room,15,265,627
Pirates of the Caribbean,16,173,659
Spring Roll Snack Cart,17,482,579
Sunshine Tree Terrace,18,454,596
Jungle Navigation Co. LTD Skipper Canteen,19,421,592
Aloha Isle,20,259,574
Tortuga Tavern,21,165,605
Plaza del Sol Caribe Bazaar,22,140,640
Splash Mountain,23,80,407
Big Thunder Mountain Railroad,24,144,379
Tom Sawyer Island,25,166,432
Country Bear Jamboree,26,259,538
Golden Oak Outpost,27,96,560
Pecos Bill Tall Tale Inn and Cafe,28,207,531
Westward Ho,29,215,500
Frontier Trading Post,30,315,540
The Hall of Presidents,31,460,431
Liberty Square Riverboat,32,404,404
Haunted Mansion,33,377,310
Liberty Tree Tavern,34,420,485
The Diamond Horshoe,35,390,510
Columbia Harbour House,36,434,340
Liberty Square Market,37,434,407
Sleepy Hollow,38,506,456
Ye Olde Christmas Shoppe,39,490,483
Momento Mori,40,415,317
Prince Charming Regal Carrousel,41,615,306
Mickey's Phillarmagic,42,591,336
Peter Pan's Flight,43,518,290
it's a small world,44,493,294
Under the Sea ~ Journey of the Little Mermaid,45,807,200
The Brainstormer,46,1042,239
Dumbo the Flying Elephant,47,958,277
Mad Tea Party,48,830,360
The Many Adventures of Winnie the Pooh,49,770,346
Seven Dwarfs Mine Train,50,732,310
Princess Fairytale Hall,51,370,361
Cinderella's Royal Table,52,660,410
Pinnochio Village Haus,53,605,293
Be Our Guest Restaurant,54,715,215
Gaston's Tavern,55,732,158
Storybook Treats,56,816,235
Cheschire Cafe,57,805,400
Storybook Treats,58,720,340
The Friar's Nook,59,775,155
Fantasy Faire,60,560,350
Big Top Souvenirs,61,943,230
Tomorrowland Speedway,62,912,485
Space Mountain,63,1072,560
Astro Orbiter,64,980,626
Tomorrowland Transit Authority PeopleMover,65,960,653
Walt Disney's Carousel of Progress,66,940,700
Buzz Lightyear's Space Ranger Spin,67,900,655
Monster's Inc. Laugh Floor,68,826,621
Cosmic Ray's Starlight Cafe,69,803,475
Auntie Gravity's Galactic Goodies,70,900,560
Cool Ship,71,972,574
Joffrey's Coffee & Tea Company,72,1033,630
The Lunching Pad,73,919,619
Tomorrowland Terrace Restaurant,74,752,683
Star Traders,75,880,518
Ursa's Major Minor Mart,76,1040,596
Main Street Park Entrance Station,77,628,927
Mickey and Walt Disney Center Statue,78,626,550
Cinderella's Castle,79,626,448
